step,loss
1233,99962.1796875
1234,99963.5078125
1235,99964.3671875
1236,99965.6640625
1237,99966.6875
1238,99967.9140625
1239,99969.0234375
1240,99970.1796875
1241,99971.03125
1242,99972.2265625
1243,99973.2890625
1244,99974.6640625
1245,99975.5078125
1246,99976.9140625
1247,99977.90625
1248,99978.84375
1249,99979.671875
1250,99980.8125
1251,99981.84375
1252,99982.6796875
1253,99983.7734375
1254,99984.6875
1255,99985.390625
1256,99986.5625
1257,99987.609375
1258,99988.6328125
1259,99989.6796875
1260,99990.4296875
1261,99991.4375
1262,99992.1640625
1263,99993.40625
1264,99993.984375
1265,99995.09375
1266,99996.171875
1267,99997.203125
1268,99998.1171875
1269,99999.046875
1270,100000.1484375
1271,100001.0234375
1272,100001.765625
1273,100002.734375
1274,100004.03125
1275,100004.5703125
1276,100005.6953125
1277,100006.6796875
1278,100007.4375
1279,100008.265625
1280,100009.15625
1281,100009.9609375
1282,100011.109375
1283,100011.8515625
1284,100012.9921875
1285,100013.6640625
1286,100014.5390625
1287,100015.3984375
1288,100016.4140625
1289,100016.9765625
1290,100017.7421875
1291,100018.5546875
1292,100019.3828125
1293,100020.28125
1294,100021.09375
1295,100021.9765625
1296,100022.7734375
1297,100023.5
1298,100024.484375
1299,100025.5078125
1300,100026.28125
1301,100026.859375
1302,100027.6875
1303,100028.625
1304,100029.46875
1305,100030.0703125
1306,100031.1171875
1307,100031.6953125
1308,100032.8203125
1309,100033.5
1310,100034.4140625
1311,100034.9765625
1312,100036.1796875
1313,100036.703125
1314,100037.7578125
1315,100038.515625
1316,100039.5546875
1317,100040.40625
1318,100041.0546875
1319,100041.7265625
1320,100042.7578125
1321,100043.8359375
1322,100044.4296875
1323,100045.4453125
1324,100046.1484375
1325,100047.1015625
1326,100048.0390625
1327,100048.7578125
1328,100049.2890625
1329,100050.3671875
1330,100051.1171875
1331,100051.96875
1332,100052.875
1333,100053.8828125
1334,100054.7109375
1335,100055.265625
1336,100055.8984375
1337,100057.0234375
1338,100057.6328125
1339,100058.453125
1340,100059.3984375
1341,100060.2734375
1342,100060.84375
1343,100061.59375
1344,100062.4765625
1345,100063.3046875
1346,100063.9453125
1347,100065.0234375
1348,100065.3828125
1349,100066.1875
1350,100067.1015625
1351,100067.8359375
1352,100068.6328125
1353,100069.2734375
1354,100070.0546875
1355,100070.7265625
1356,100071.6953125
1357,100072.4296875
1358,100073.296875
1359,100074.109375
1360,100074.75
1361,100075.625
1362,100076.4921875
1363,100077.6171875
1364,100078.3125
1365,100079.1875
1366,100080.078125
1367,100081.0546875
1368,100081.890625
1369,100082.8828125
1370,100083.7578125
1371,100084.6171875
1372,100085.3984375
1373,100086.0546875
1374,100086.9296875
1375,100087.890625
1376,100088.796875
1377,100089.3828125
1378,100090.3984375
1379,100091.1640625
1380,100092.1015625
1381,100092.96875
1382,100093.765625
1383,100094.7265625
1384,100095.3515625
1385,100096.421875
1386,100097.125
1387,100098.0
1388,100098.8359375
1389,100099.7734375
1390,100100.6953125
1391,100101.4609375
1392,100102.359375
1393,100102.984375
1394,100103.8828125
1395,100104.75
1396,100105.5078125
1397,100106.1953125
1398,100107.0390625
1399,100107.8203125
1400,100108.7421875
1401,100109.5234375
1402,100110.375
1403,100111.0859375
1404,100111.984375
1405,100112.9921875
1406,100113.5546875
1407,100114.4921875
1408,100115.203125
1409,100116.046875
1410,100116.890625
1411,100117.59375
1412,100118.4296875
1413,100119.1171875
1414,100120.078125
1415,100120.9921875
1416,100121.4296875
1417,100122.5546875
1418,100123.5546875
1419,100123.9375
1420,100124.8046875
1421,100125.3515625
1422,100126.109375
1423,100126.828125
1424,100127.6640625
1425,100128.6015625
